model,label_col,acc,macro_f1,weighted_f1
SVM,type_level1,0.7986666666666666,0.6217062309912118,0.7831409023041098
SVM,domain_level2,0.64,0.5073929306479847,0.6228175673607252
BiLSTM,type_level1,0.8746666666666667,0.7752853791967456,0.8655483806730554
BiLSTM,domain_level2,0.596,0.17067371065539508,0.5291203901069648
PhoBERT,type_level1,0.8933333333333333,0.7991472673181133,0.8875189382546151
PhoBERT,domain_level2,0.6786666666666666,0.5310161155405951,0.6740929775932857
